Price,Room.Type,City,Bed(s),Property.Form,Avg
161,Private room,ch,2,hotel,190.54
159,Private room,ch,2,hotel,190.54
189,Private room,ch,2,hotel,190.54
142,Private room,ch,2,hotel,190.54
169,Private room,ch,2,hotel,190.54
209,Private room,ch,2,hotel,190.54
107,Private room,ch,2,hotel,190.54
199,Private room,ch,2,hotel,190.54
202,Private room,ch,2,hotel,190.54
336,Private room,ch,2,hotel,190.54
178,Private room,ch,2,hotel,190.54
239,Private room,ch,2,hotel,190.54
399,Private room,ch,2,hotel,190.54
183,Private room,ch,2,hotel,190.54
170,Private room,ch,2,hotel,190.54
137,Private room,ch,2,hotel,190.54
169,Private room,ch,2,hotel,190.54
145,Private room,ch,2,hotel,190.54
139,Private room,ch,2,hotel,190.54
127,Private room,ch,2,hotel,190.54
134,Private room,ch,2,hotel,190.54
107,Private room,ch,2,hotel,190.54
127,Private room,ch,2,hotel,190.54
127,Private room,ch,2,hotel,190.54
144,Private room,ch,2,hotel,190.54
149,Private room,ch,2,hotel,190.54
325,Private room,ch,2,hotel,190.54
229,Private room,ch,2,hotel,190.54
157,Private room,ch,2,hotel,190.54
144,Private room,ch,2,hotel,190.54
149,Private room,ch,2,hotel,190.54
325,Private room,ch,2,hotel,190.54
229,Private room,ch,2,hotel,190.54
199,Private room,ch,2,hotel,190.54
157,Private room,ch,2,hotel,190.54
199,Private room,ch,2,hotel,190.54
143,Private room,ch,2,hotel,190.54
199,Private room,ch,2,hotel,190.54
199,Private room,ch,2,hotel,190.54
195,Private room,ch,2,hotel,190.54
190,Private room,ch,2,hotel,190.54
159,Private room,ch,2,hotel,190.54
103,Private room,ch,2,hotel,190.54
165,Private room,ch,2,hotel,190.54
129,Private room,ch,2,hotel,190.54
159,Private room,ch,2,hotel,190.54
161,Private room,ch,2,hotel,190.54
199,Private room,ch,2,hotel,190.54
161,Private room,ch,2,hotel,190.54
159,Private room,ch,2,hotel,190.54
169,Private room,ch,2,hotel,190.54
142,Private room,ch,2,hotel,190.54
203,Private room,ch,2,hotel,190.54
319,Private room,ch,2,hotel,190.54
169,Private room,ch,2,hotel,190.54
185,Private room,ch,2,hotel,190.54
375,Private room,ch,2,hotel,190.54
209,Private room,ch,2,hotel,190.54
159,Private room,ch,2,hotel,190.54
161,Private room,ch,2,hotel,190.54
112,Private room,ch,2,hotel,190.54
161,Private room,ch,2,hotel,190.54
161,Private room,ch,2,hotel,190.54
195,Private room,ch,2,hotel,190.54
93,Private room,ch,2,hotel,190.54
134,Private room,ch,2,hotel,190.54
118,Private room,ch,2,hotel,190.54
169,Private room,ch,2,hotel,190.54
144,Private room,ch,2,hotel,190.54
169,Private room,ch,2,hotel,190.54
180,Private room,ch,2,hotel,190.54
110,Private room,ch,2,hotel,190.54
1034,Private room,ch,2,hotel,190.54
199,Private room,ch,2,hotel,190.54
189,Private room,ch,2,hotel,190.54
107,Private room,ch,2,hotel,190.54
169,Private room,ch,2,hotel,190.54
173,Private room,ch,2,hotel,190.54
110,Private room,ch,2,hotel,190.54
329,Private room,nyc,1,hotel,195.04
795,Private room,nyc,1,hotel,195.04
400,Private room,nyc,1,hotel,195.04
116,Private room,nyc,1,hotel,195.04
179,Private room,nyc,1,hotel,195.04
299,Private room,nyc,1,hotel,195.04
229,Private room,nyc,1,hotel,195.04
450,Private room,nyc,1,hotel,195.04
299,Private room,nyc,1,hotel,195.04
125,Private room,nyc,1,hotel,195.04
127,Private room,nyc,1,hotel,195.04
126,Private room,nyc,1,hotel,195.04
119,Private room,nyc,1,hotel,195.04
745,Private room,nyc,1,hotel,195.04
215,Private room,nyc,1,hotel,195.04
159,Private room,nyc,1,hotel,195.04
245,Private room,nyc,1,hotel,195.04
135,Private room,nyc,1,hotel,195.04
195,Private room,nyc,1,hotel,195.04
129,Private room,nyc,1,hotel,195.04
154,Private room,nyc,1,hotel,195.04
190,Private room,nyc,1,hotel,195.04
161,Private room,nyc,1,hotel,195.04
305,Private room,nyc,1,hotel,195.04
195,Private room,nyc,1,hotel,195.04
144,Private room,nyc,1,hotel,195.04
167,Private room,nyc,1,hotel,195.04
155,Private room,nyc,1,hotel,195.04
127,Private room,nyc,1,hotel,195.04
135,Private room,nyc,1,hotel,195.04
158,Private room,nyc,1,hotel,195.04
229,Private room,nyc,1,hotel,195.04
134,Private room,nyc,1,hotel,195.04
135,Private room,nyc,1,hotel,195.04
127,Private room,nyc,1,hotel,195.04
199,Private room,nyc,1,hotel,195.04
249,Private room,nyc,1,hotel,195.04
161,Private room,nyc,1,hotel,195.04
280,Private room,nyc,1,hotel,195.04
189,Private room,nyc,1,hotel,195.04
180,Private room,nyc,1,hotel,195.04
203,Private room,nyc,1,hotel,195.04
189,Private room,nyc,1,hotel,195.04
165,Private room,nyc,1,hotel,195.04
169,Private room,nyc,1,hotel,195.04
135,Private room,nyc,1,hotel,195.04
159,Private room,nyc,1,hotel,195.04
143,Private room,nyc,1,hotel,195.04
309,Private room,nyc,1,hotel,195.04
152,Private room,nyc,1,hotel,195.04
194,Private room,nyc,1,hotel,195.04
134,Private room,nyc,1,hotel,195.04
135,Private room,nyc,1,hotel,195.04
189,Private room,nyc,1,hotel,195.04
127,Private room,nyc,1,hotel,195.04
149,Private room,nyc,1,hotel,195.04
305,Private room,nyc,1,hotel,195.04
200,Private room,nyc,1,hotel,195.04
255,Private room,nyc,1,hotel,195.04
162,Private room,nyc,1,hotel,195.04
156,Private room,nyc,1,hotel,195.04
199,Private room,nyc,1,hotel,195.04
172,Private room,nyc,1,hotel,195.04
214,Private room,nyc,1,hotel,195.04
203,Private room,nyc,1,hotel,195.04
225,Private room,nyc,1,hotel,195.04
110,Private room,nyc,1,hotel,195.04
197,Private room,nyc,1,hotel,195.04
187,Private room,nyc,1,hotel,195.04
278,Private room,nyc,1,hotel,195.04
143,Private room,nyc,1,hotel,195.04
195,Private room,nyc,1,hotel,195.04
159,Private room,nyc,1,hotel,195.04
199,Private room,nyc,1,hotel,195.04
249,Private room,nyc,1,hotel,195.04
179,Private room,nyc,1,hotel,195.04
122,Private room,nyc,1,hotel,195.04
234,Private room,nyc,1,hotel,195.04
116,Private room,nyc,1,hotel,195.04
169,Private room,nyc,1,hotel,195.04
165,Private room,nyc,1,hotel,195.04
136,Private room,nyc,1,hotel,195.04
108,Private room,nyc,1,hotel,195.04
98,Private room,nyc,1,hotel,195.04
146,Private room,nyc,1,hotel,195.04
89,Private room,nyc,1,hotel,195.04
193,Private room,nyc,1,hotel,195.04
195,Private room,nyc,1,hotel,195.04
79,Private room,nyc,1,hotel,195.04
89,Private room,nyc,1,hotel,195.04
215,Private room,nyc,1,hotel,195.04
165,Private room,nyc,1,hotel,195.04
240,Private room,nyc,1,hotel,195.04
135,Private room,nyc,1,hotel,195.04
170,Private room,nyc,1,hotel,195.04
125,Private room,nyc,1,hotel,195.04
179,Private room,nyc,1,hotel,195.04
269,Private room,nyc,1,hotel,195.04
115,Private room,nyc,1,hotel,195.04
223,Private room,nyc,1,hotel,195.04
349,Private room,nyc,2,hotel,239.77
400,Private room,nyc,2,hotel,239.77
676,Private room,nyc,2,hotel,239.77
299,Private room,nyc,2,hotel,239.77
229,Private room,nyc,2,hotel,239.77
125,Private room,nyc,2,hotel,239.77
179,Private room,nyc,2,hotel,239.77
255,Private room,nyc,2,hotel,239.77
450,Private room,nyc,2,hotel,239.77
129,Private room,nyc,2,hotel,239.77
207,Private room,nyc,2,hotel,239.77
169,Private room,nyc,2,hotel,239.77
329,Private room,nyc,2,hotel,239.77
135,Private room,nyc,2,hotel,239.77
745,Private room,nyc,2,hotel,239.77
135,Private room,nyc,2,hotel,239.77
134,Private room,nyc,2,hotel,239.77
126,Private room,nyc,2,hotel,239.77
215,Private room,nyc,2,hotel,239.77
