Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
2, 1 (Private),0,1,,, Apartment, Entire home/apt, No Charge, 5%, 0%, Strict, within an hour,2800717,108,105,sf,54
2, 2 (Shared),1,2,,, Apartment, Private room, No Charge, 10%, 0%, Moderate, within an hour,2471457,80,106,sf,40
2, 1 (Private),1,1, Anytime after 3PM, 11AM, Condominium, Entire home/apt,, 5%, 19%, Strict, within an hour,7222704,95,107,sf,47.5
1, 1 (Private),1,1, 3PM - 2AM (next day), 1PM, House, Private room,, 10%, 15%, Flexible, within an hour,7073115,195,108,sf,195
2, 1 (Private),0,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 10%, 20%, Strict, within an hour,13175533,65,109,sf,32.5
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Flexible, within an hour,11106417,190,110,sf,95
2, 1,1,1, Anytime after 2PM, 11AM, House, Private room, No Charge, 12%, 18%, Strict, within an hour,10455995,99,111,sf,49.5
2, 1,1,1,,, House, Private room, No Charge,,, Moderate, within an hour,6968158,80,112,sf,40
2, 1,1,1, Anytime after 12PM (noon), 12PM (noon), Apartment, Private room, $30 / night after the first guest, 15%, 40%, Moderate, within an hour,12205354,130,113,sf,65
1, 0.5,1,1,,, Apartment, Private room,,,, Flexible, within an hour,14059646,59,114,sf,59
2, 1 (Private),1,1, Anytime after 3PM,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13641058,89,115,sf,44.5
2, 1,1,1, Anytime after 3PM, 12PM (noon), House, Private room, No Charge, 0%, 12%, Strict, within an hour,12569845,120,116,sf,60
2, 1 (Shared),1,2, 3PM - 5PM, 11AM, House, Private room, No Charge,,, Moderate, within an hour,13732799,135,117,sf,67.5
2, 1,1,1, Anytime after 3PM,, Apartment, Private room, No Charge,,, Flexible, within an hour,14110702,70,118,sf,35
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within a few hours,8288229,180,119,sf,90
1, 1,1,1, Anytime after 2PM, 12PM (noon), Apartment, Private room,, 0%, 0%, Moderate, within an hour,13138137,80,120,sf,80
2, 1,1,1, 3PM - 2AM (next day), 11AM, Apartment, Entire home/apt,, 10%, 15%, Strict, within a few hours,7965068,65,121,sf,32.5
2, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Private room, No Charge, 0%, 0%, Moderate, within a few hours,10773277,200,122,sf,100
2, 0,1,1, Anytime after 3PM, 11AM, Apartment, Private room, No Charge, 10%, 32%, Moderate, within an hour,8685766,80,123,sf,40
