Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
 2, 1 (Private),1,1, 1PM - 12AM (midnight), 12PM (noon), House, Private room, No Charge, 0%, 0%, Strict, within an hour,12931364,95,144,ny,23.75
 2, 1,0,1, Anytime after 10AM, 11AM, Loft, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,13846131,56,145,ny,14
 3, 1 (Private),1,1, Flexible, 12PM (noon), Apartment, Entire home/apt,,,, Flexible, within an hour,13642073,70,146,ny,14
 6, 1,2,3, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $45 / night after 3 guests, 10%, 15%, Strict, within a few hours,14161054,65,147,ny,9.28571428571429
 2, 2,1,1,, 12PM (noon), Apartment, Private room,, 0%, 0%, Moderate, within an hour,9885501,180,148,ny,45
 1, 3,1,1,,, Cabin, Private room,,,, Flexible, within an hour,12519432,70,149,ny,70
 2, 1,1,1,,, Apartment, Private room, No Charge, 10%, 30%, Moderate, within an hour,8015917,50,150,ny,12.5
 2, 1,1,1, 12PM (noon) - 12AM (midnight), 3PM, Apartment, Entire home/apt, No Charge,,, Moderate, within a few hours,12067652,119,151,ny,29.75
 2, 1,1,1, Flexible, 11AM, Apartment, Entire home/apt, No Charge, 10%, 18%, Moderate, within an hour,13473920,72,152,ny,18
 3, 1,1,1, 4PM - 12AM (midnight), 11AM, Apartment, Entire home/apt, $20 / night after 2 guests, 0%, 0%, Strict, within an hour,9769423,82,153,ny,16.4
 1, 1,1,1,,, Apartment, Private room,, 30%, 57%, Moderate, within an hour,11753645,75,154,ny,75
 2, 1 (Shared),1,1, Flexible,, Apartment, Private room, $29 / night after the first guest,,, Moderate, within an hour,13858288,68,155,ny,17
 2, 1 (Shared),1,1,,, Apartment, Private room, No Charge,,, Flexible, within an hour,13744371,220,156,ny,55
 2, 1 (Private),1,1, Anytime after 2PM, 12PM (noon), Apartment, Private room, $30 / night after the first guest, 0%, 10%, Strict, within an hour,4746463,70,157,ny,17.5
 2, 1,1,1, 3PM - 12AM (midnight), 1PM, Apartment, Entire home/apt, No Charge,,, Moderate, within an hour,9475703,50,158,ny,12.5
 2, 1 (Shared),1,1, 11AM - 6PM, 11AM, Apartment, Private room, No Charge, 0%, 0%, Moderate, within an hour,11701222,60,159,ny,15
 2, 1 (Private),1,1,,, Apartment, Private room,, 15%, 0%, Flexible, within a day,12654810,62,160,ny,15.5
 2, 0.5 (Private),1,1, Anytime after 6PM, 12PM (noon), Apartment, Private room,, 0%, 0%, Strict, within an hour,11376684,65,161,ny,16.25
 4, 1,0,2, 8AM - 12PM (noon), 12PM (noon), Loft, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,4482049,30,162,ny,5
 2, 1.5 (Shared),1,1,,, Apartment, Private room, No Charge,,, Flexible, within an hour,12049903,30,163,ny,7.5
 2, 1 (Shared),1,1,,, Apartment, Private room, No Charge,,, Flexible, within a few hours,13434493,300,164,ny,75
 2, 1 (Shared),1,1, 3PM - 10PM, 12PM (noon), Apartment, Private room,, 5%, 10%, Moderate, within an hour,14121443,59,165,ny,14.75
