Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
2, 1,1,1, 2PM - 10PM, 11AM, House, Private room, No Charge, 0%, 5%, Strict, within an hour,12705874,94,175,San Francisco,47
2, 1 (Private),0,1, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt,, 15%, 25%, Strict, within a few hours,4607177,225,176,San Francisco,112.5
3, 1,1,1, 3PM - 2AM (next day), 12PM (noon), Apartment, Private room, $30 / night after 2 guests, 20%,, Flexible, within an hour,12857736,159,177,San Francisco,53
2, 1,1,1, Anytime after 3PM,, Apartment, Entire home/apt, No Charge,,, Flexible, within a few hours,13469139,80,178,San Francisco,40
2, 1,1,1, Anytime after 3PM, 11AM, House, Private room,, 0%, 10%, Strict, within an hour,7227859,160,179,San Francisco,80
2, 1 (Shared),1,1, Anytime after 3PM, 2PM, Apartment, Private room, No Charge,,, Moderate, within an hour,13530165,180,180,San Francisco,90
4, 1 (Private),2,2, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 10%, 30%, Moderate, within a day,1520938,205,181,San Francisco,51.25
4, 1,1,1, Anytime after 2PM, 11AM, House, Private room, $20 / night after 3 guests, 10%, 0%, Moderate, within an hour,13021568,125,182,San Francisco,31.25
2, 1 (Private),1,1, Anytime after 2PM, 11AM, House, Entire home/apt, No Charge,,, Strict, within an hour,12172311,109,183,San Francisco,54.5
2, 1,1,1,,, Apartment, Private room, No Charge,,, Flexible, within an hour,11593303,100,184,San Francisco,50
1, 1,1,1, Anytime after 3PM,, Apartment, Shared room,,,, Strict, within an hour,13219829,150,185,San Francisco,150
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Moderate, within a few hours,4122671,165,186,San Francisco,82.5
2, 1,1,1, 3PM - 10PM, 11AM, Apartment, Entire home/apt,, 0%, 20%, Strict, within a few hours,9065415,78,187,San Francisco,39
2, 1,1,2,,, Condominium, Shared room,, 0%, 0%, Strict, within an hour,1711403,200,188,San Francisco,100
2, 1,1,1, Anytime after 11AM, 11AM, Apartment, Private room, No Charge, 10%, 15%, Strict, within an hour,5884735,119,189,San Francisco,59.5
2, 1,0,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 21%, 50%, Moderate, within an hour,5589500,87,190,San Francisco,43.5
2, 1 (Private),1,1,, 11AM, House, Entire home/apt,, 12%, 0%, Strict, within an hour,678556,69,191,San Francisco,34.5
2, 1 (Private),1,1, Anytime after 3PM, 11AM, House, Private room, $20 / night after the first guest, 0%, 0%, Moderate, within an hour,4439461,85,192,San Francisco,42.5
2, 1,1,1, Flexible, 12PM (noon), House, Private room, No Charge,,, Flexible, within an hour,14009785,115,193,San Francisco,57.5
1, 1 (Private),1,1, 3PM - 2AM (next day), 1PM, House, Private room,, 10%, 15%, Flexible, within an hour,7073115,169,194,San Francisco,169
2, 1,1,1,,, House, Entire home/apt, No Charge, 15%, 0%, Moderate, within an hour,4816543,190,195,San Francisco,95
1, 1,1,1, Anytime after 3PM, 12PM (noon), Other, Private room,, 6%, 10%, Strict, within an hour,752762,134,196,San Francisco,134
