Room.Type,City,Bed(s),Property.Form,Price,Avg
Private room,Chicago,1,hotel,163,177.45
Private room,Chicago,1,hotel,199,177.45
Private room,Chicago,1,hotel,293,177.45
Private room,Chicago,1,hotel,159,177.45
Private room,Chicago,1,hotel,137,177.45
Private room,Chicago,1,hotel,375,177.45
Private room,Chicago,1,hotel,149,177.45
Private room,Chicago,1,hotel,130,177.45
Private room,Chicago,1,hotel,157,177.45
Private room,Chicago,1,hotel,143,177.45
Private room,Chicago,1,hotel,94,177.45
Private room,Chicago,1,hotel,190,177.45
Private room,Chicago,1,hotel,219,177.45
Private room,Chicago,1,hotel,159,177.45
Private room,Chicago,1,hotel,103,177.45
Private room,Chicago,1,hotel,399,177.45
Private room,Chicago,1,hotel,181,177.45
Private room,Chicago,1,hotel,167,177.45
Private room,Chicago,2,hotel,316,190.54
Private room,Chicago,2,hotel,159,190.54
Private room,Chicago,2,hotel,296,190.54
Private room,Chicago,2,hotel,134,190.54
Private room,Chicago,2,hotel,150,190.54
Private room,Chicago,2,hotel,111,190.54
Private room,Chicago,2,hotel,139,190.54
Private room,Chicago,2,hotel,161,190.54
Private room,Chicago,2,hotel,179,190.54
Private room,Chicago,2,hotel,117,190.54
Private room,Chicago,2,hotel,137,190.54
Private room,Chicago,2,hotel,161,190.54
Private room,Chicago,2,hotel,103,190.54
Private room,Chicago,2,hotel,112,190.54
Private room,Chicago,2,hotel,170,190.54
Private room,Chicago,2,hotel,152,190.54
Private room,Chicago,2,hotel,116,190.54
Private room,Chicago,2,hotel,130,190.54
Private room,Chicago,2,hotel,1034,190.54
Private room,Chicago,2,hotel,159,190.54
Private room,Chicago,2,hotel,219,190.54
Private room,Chicago,2,hotel,161,190.54
Private room,Chicago,2,hotel,159,190.54
Private room,Chicago,2,hotel,189,190.54
Private room,Chicago,2,hotel,142,190.54
Private room,Chicago,2,hotel,169,190.54
Private room,Chicago,2,hotel,209,190.54
Private room,Chicago,2,hotel,107,190.54
Private room,Chicago,2,hotel,199,190.54
Private room,Chicago,2,hotel,202,190.54
Private room,Chicago,2,hotel,336,190.54
Private room,Chicago,2,hotel,178,190.54
Private room,Chicago,2,hotel,239,190.54
Private room,Chicago,2,hotel,399,190.54
Private room,Chicago,2,hotel,183,190.54
Private room,Chicago,2,hotel,170,190.54
Private room,Chicago,2,hotel,137,190.54
Private room,Chicago,2,hotel,169,190.54
Private room,Chicago,2,hotel,145,190.54
Private room,Chicago,2,hotel,139,190.54
Private room,Chicago,2,hotel,127,190.54
Private room,Chicago,2,hotel,134,190.54
Private room,Chicago,2,hotel,107,190.54
Private room,Chicago,2,hotel,127,190.54
Private room,Chicago,2,hotel,127,190.54
Private room,Chicago,2,hotel,144,190.54
Private room,Chicago,2,hotel,149,190.54
Private room,Chicago,2,hotel,325,190.54
Private room,Chicago,2,hotel,229,190.54
Private room,Chicago,2,hotel,157,190.54
Private room,Chicago,2,hotel,144,190.54
Private room,Chicago,2,hotel,149,190.54
Private room,Chicago,2,hotel,325,190.54
Private room,Chicago,2,hotel,229,190.54
Private room,Chicago,2,hotel,199,190.54
Private room,Chicago,2,hotel,157,190.54
Private room,Chicago,2,hotel,199,190.54
Private room,Chicago,2,hotel,143,190.54
Private room,Chicago,2,hotel,199,190.54
Private room,Chicago,2,hotel,199,190.54
Private room,Chicago,2,hotel,195,190.54
Private room,Chicago,2,hotel,190,190.54
Private room,Chicago,2,hotel,159,190.54
Private room,Chicago,2,hotel,103,190.54
Private room,Chicago,2,hotel,165,190.54
Private room,Chicago,2,hotel,129,190.54
Private room,Chicago,2,hotel,159,190.54
Private room,Chicago,2,hotel,161,190.54
Private room,Chicago,2,hotel,199,190.54
Private room,Chicago,2,hotel,161,190.54
Private room,Chicago,2,hotel,159,190.54
Private room,Chicago,2,hotel,169,190.54
Private room,Chicago,2,hotel,142,190.54
Private room,Chicago,2,hotel,203,190.54
Private room,Chicago,2,hotel,319,190.54
Private room,Chicago,2,hotel,169,190.54
Private room,Chicago,2,hotel,185,190.54
Private room,Chicago,2,hotel,375,190.54
Private room,Chicago,2,hotel,209,190.54
Private room,Chicago,2,hotel,159,190.54
Private room,Chicago,2,hotel,161,190.54
Private room,Chicago,2,hotel,112,190.54
Private room,Chicago,2,hotel,161,190.54
Private room,Chicago,2,hotel,161,190.54
Private room,Chicago,2,hotel,195,190.54
Private room,Chicago,2,hotel,93,190.54
Private room,Chicago,2,hotel,134,190.54
Private room,Chicago,2,hotel,118,190.54
Private room,Chicago,2,hotel,169,190.54
Private room,Chicago,2,hotel,144,190.54
Private room,Chicago,2,hotel,169,190.54
Private room,Chicago,2,hotel,180,190.54
Private room,Chicago,2,hotel,110,190.54
Private room,Chicago,2,hotel,1034,190.54
Private room,Chicago,2,hotel,199,190.54
Private room,Chicago,2,hotel,189,190.54
Private room,Chicago,2,hotel,107,190.54
Private room,Chicago,2,hotel,169,190.54
Private room,Chicago,2,hotel,173,190.54
Private room,Chicago,2,hotel,110,190.54
Private room,New York City,1,hotel,329,195.04
Private room,New York City,1,hotel,795,195.04
Private room,New York City,1,hotel,400,195.04
Private room,New York City,1,hotel,116,195.04
Private room,New York City,1,hotel,179,195.04
Private room,New York City,1,hotel,299,195.04
Private room,New York City,1,hotel,229,195.04
Private room,New York City,1,hotel,450,195.04
Private room,New York City,1,hotel,299,195.04
Private room,New York City,1,hotel,125,195.04
Private room,New York City,1,hotel,127,195.04
Private room,New York City,1,hotel,126,195.04
Private room,New York City,1,hotel,119,195.04
Private room,New York City,1,hotel,745,195.04
Private room,New York City,1,hotel,215,195.04
Private room,New York City,1,hotel,159,195.04
Private room,New York City,1,hotel,245,195.04
Private room,New York City,1,hotel,135,195.04
Private room,New York City,1,hotel,195,195.04
Private room,New York City,1,hotel,129,195.04
Private room,New York City,1,hotel,154,195.04
Private room,New York City,1,hotel,190,195.04
Private room,New York City,1,hotel,161,195.04
Private room,New York City,1,hotel,305,195.04
Private room,New York City,1,hotel,195,195.04
Private room,New York City,1,hotel,144,195.04
Private room,New York City,1,hotel,167,195.04
Private room,New York City,1,hotel,155,195.04
Private room,New York City,1,hotel,127,195.04
Private room,New York City,1,hotel,135,195.04
Private room,New York City,1,hotel,158,195.04
Private room,New York City,1,hotel,229,195.04
Private room,New York City,1,hotel,134,195.04
Private room,New York City,1,hotel,135,195.04
Private room,New York City,1,hotel,127,195.04
Private room,New York City,1,hotel,199,195.04
